"","iso","year","threshold","mnninc999i","mhweal999i","w","n","currency"
"240","AE",2022,5e+08,482715347867.693,1114244754696.22,130823578392,26,"EUR"
"241","AE",2022,1e+09,482715347867.693,1114244754696.22,121551841736,12,"EUR"
"242","AE",2022,2e+09,482715347867.693,1114244754696.22,116044023907,9,"EUR"
"243","AE",2022,5e+09,482715347867.693,1114244754696.22,103034178346,4,"EUR"
"244","AE",2022,1e+10,482715347867.693,1114244754696.22,97906210023,3,"EUR"
"245","AE",2022,2e+10,482715347867.693,1114244754696.22,83566891193,2,"EUR"
"246","AE",2022,5e+10,482715347867.693,1114244754696.22,61725544631,1,"EUR"
"247","AE",2022,1e+11,482715347867.693,1114244754696.22,0,0,"EUR"
"248","AE",2023,1e+05,439245940462.909,1039626221514.95,953722189611,2251671,"EUR"
"249","AE",2023,2e+05,439245940462.909,1039626221514.95,791047339850,1098772,"EUR"
"250","AE",2023,5e+05,439245940462.909,1039626221514.95,557307129767,328137,"EUR"
"251","AE",2023,1e+06,439245940462.909,1039626221514.95,409996890099,112231,"EUR"
"252","AE",2023,2e+06,439245940462.909,1039626221514.95,306617672327,38182,"EUR"
"253","AE",2023,5e+06,439245940462.909,1039626221514.95,220602829119,8645,"EUR"
"254","AE",2023,1e+07,439245940462.909,1039626221514.95,181856012547,2937,"EUR"
"255","AE",2023,2e+07,439245940462.909,1039626221514.95,156359324211,1055,"EUR"
"256","AE",2023,5e+07,439245940462.909,1039626221514.95,132596223323,267,"EUR"
"257","AE",2023,1e+08,439245940462.909,1039626221514.95,121294195397,96,"EUR"
"258","AE",2023,2e+08,439245940462.909,1039626221514.95,118598599235,73,"EUR"
"259","AE",2023,5e+08,439245940462.909,1039626221514.95,105464437863,35,"EUR"
"260","AE",2023,1e+09,439245940462.909,1039626221514.95,91055371677,17,"EUR"
"261","AE",2023,2e+09,439245940462.909,1039626221514.95,85192651569,13,"EUR"
"262","AE",2023,5e+09,439245940462.909,1039626221514.95,58810411083,5,"EUR"
"263","AE",2023,1e+10,439245940462.909,1039626221514.95,33619035619,2,"EUR"
"264","AE",2023,2e+10,439245940462.909,1039626221514.95,23084460425,1,"EUR"
"265","AE",2023,5e+10,439245940462.909,1039626221514.95,0,0,"EUR"
"266","AE",2023,1e+11,439245940462.909,1039626221514.95,0,0,"EUR"
"533","AT",2010,1e+05,248823447168.422,1164006092315.58,1109536048162,2663466,"EUR"
"534","AT",2010,2e+05,248823447168.422,1164006092315.58,936248713639,1427803,"EUR"
"535","AT",2010,5e+05,248823447168.422,1164006092315.58,646898192190,483956,"EUR"
"536","AT",2010,1e+06,248823447168.422,1164006092315.58,434539708272,175972,"EUR"
"537","AT",2010,2e+06,248823447168.422,1164006092315.58,292731534615,70929,"EUR"
"538","AT",2010,5e+06,248823447168.422,1164006092315.58,117197350542,12542,"EUR"
"539","AT",2010,1e+07,248823447168.422,1164006092315.58,45246802152,1547,"EUR"
"540","AT",2010,2e+07,248823447168.422,1164006092315.58,26360355862,72,"EUR"
"541","AT",2010,5e+07,248823447168.422,1164006092315.58,26062665735,65,"EUR"
"542","AT",2010,1e+08,248823447168.422,1164006092315.58,25508102106,54,"EUR"
"543","AT",2010,2e+08,248823447168.422,1164006092315.58,21623262438,30,"EUR"
"544","AT",2010,5e+08,248823447168.422,1164006092315.58,15208487310,11,"EUR"
"545","AT",2010,1e+09,248823447168.422,1164006092315.58,9806016982,4,"EUR"
"546","AT",2010,2e+09,248823447168.422,1164006092315.58,8749984384,3,"EUR"
"547","AT",2010,5e+09,248823447168.422,1164006092315.58,0,0,"EUR"
"548","AT",2010,1e+10,248823447168.422,1164006092315.58,0,0,"EUR"
"549","AT",2010,2e+10,248823447168.422,1164006092315.58,0,0,"EUR"
"550","AT",2010,5e+10,248823447168.422,1164006092315.58,0,0,"EUR"
"551","AT",2010,1e+11,248823447168.422,1164006092315.58,0,0,"EUR"
"552","AT",2011,1e+05,259757620542.881,1190456717499.01,1134034126094,2718675,"EUR"
"553","AT",2011,2e+05,259757620542.881,1190456717499.01,959077794302,1478531,"EUR"
"554","AT",2011,5e+05,259757620542.881,1190456717499.01,652614478392,475831,"EUR"
"555","AT",2011,1e+06,259757620542.881,1190456717499.01,434755784568,159722,"EUR"
"556","AT",2011,2e+06,259757620542.881,1190456717499.01,293619797347,59340,"EUR"
"557","AT",2011,5e+06,259757620542.881,1190456717499.01,155796531218,12675,"EUR"
"558","AT",2011,1e+07,259757620542.881,1190456717499.01,93385323572,3362,"EUR"
"559","AT",2011,2e+07,259757620542.881,1190456717499.01,59758078811,840,"EUR"
"560","AT",2011,5e+07,259757620542.881,1190456717499.01,38876431632,115,"EUR"
"561","AT",2011,1e+08,259757620542.881,1190456717499.01,35939458632,67,"EUR"
"562","AT",2011,2e+08,259757620542.881,1190456717499.01,33491096130,52,"EUR"
"563","AT",2011,5e+08,259757620542.881,1190456717499.01,24336551997,22,"EUR"
"564","AT",2011,1e+09,259757620542.881,1190456717499.01,12572243064,5,"EUR"
"565","AT",2011,2e+09,259757620542.881,1190456717499.01,9123856395,3,"EUR"
"566","AT",2011,5e+09,259757620542.881,1190456717499.01,0,0,"EUR"
"567","AT",2011,1e+10,259757620542.881,1190456717499.01,0,0,"EUR"
"568","AT",2011,2e+10,259757620542.881,1190456717499.01,0,0,"EUR"
"569","AT",2011,5e+10,259757620542.881,1190456717499.01,0,0,"EUR"
"570","AT",2011,1e+11,259757620542.881,1190456717499.01,0,0,"EUR"
"571","AT",2012,1e+05,265216923396.317,1202696050918.72,1143853668433,2733134,"EUR"
"572","AT",2012,2e+05,265216923396.317,1202696050918.72,968500212905,1494761,"EUR"
"573","AT",2012,5e+05,265216923396.317,1202696050918.72,652668844873,458498,"EUR"
"574","AT",2012,1e+06,265216923396.317,1202696050918.72,443180296843,150862,"EUR"
"575","AT",2012,2e+06,265216923396.317,1202696050918.72,313010458029,56794,"EUR"
"576","AT",2012,5e+06,265216923396.317,1202696050918.72,184114418665,13331,"EUR"
"577","AT",2012,1e+07,265216923396.317,1202696050918.72,121259448213,4023,"EUR"
"578","AT",2012,2e+07,265216923396.317,1202696050918.72,82932360235,1172,"EUR"
"579","AT",2012,5e+07,265216923396.317,1202696050918.72,55507596960,219,"EUR"
"580","AT",2012,1e+08,265216923396.317,1202696050918.72,46646273827,76,"EUR"
"581","AT",2012,2e+08,265216923396.317,1202696050918.72,44189600193,59,"EUR"
"582","AT",2012,5e+08,265216923396.317,1202696050918.72,33606558951,27,"EUR"
"583","AT",2012,1e+09,265216923396.317,1202696050918.72,16500768447,6,"EUR"
"584","AT",2012,2e+09,265216923396.317,1202696050918.72,14399255484,4,"EUR"
"585","AT",2012,5e+09,265216923396.317,1202696050918.72,0,0,"EUR"
"586","AT",2012,1e+10,265216923396.317,1202696050918.72,0,0,"EUR"
"587","AT",2012,2e+10,265216923396.317,1202696050918.72,0,0,"EUR"
"588","AT",2012,5e+10,265216923396.317,1202696050918.72,0,0,"EUR"
"589","AT",2012,1e+11,265216923396.317,1202696050918.72,0,0,"EUR"
"590","AT",2013,1e+05,269722321565.427,1238222295263.68,1167326914039,2777274,"EUR"
"591","AT",2013,2e+05,269722321565.427,1238222295263.68,991003590519,1538693,"EUR"
"592","AT",2013,5e+05,269722321565.427,1238222295263.68,661263475159,455874,"EUR"
"593","AT",2013,1e+06,269722321565.427,1238222295263.68,450029721817,144112,"EUR"
"594","AT",2013,2e+06,269722321565.427,1238222295263.68,327597499414,54759,"EUR"
"595","AT",2013,5e+06,269722321565.427,1238222295263.68,206449239291,14020,"EUR"
"596","AT",2013,1e+07,269722321565.427,1238222295263.68,142996883755,4662,"EUR"
"597","AT",2013,2e+07,269722321565.427,1238222295263.68,100385613708,1511,"EUR"
"598","AT",2013,5e+07,269722321565.427,1238222295263.68,65904648294,329,"EUR"
"599","AT",2013,1e+08,269722321565.427,1238222295263.68,49208445839,88,"EUR"
"600","AT",2013,2e+08,269722321565.427,1238222295263.68,45443306909,59,"EUR"
